timestamp,type,says,basketValueGross,overallBasketSavings,basketValueNet,numberOfItems,payment_type,payment_category,payment_amount,customerId,requestId
2023-12-11 15:17:53.135,IN_STORE,NA,10.77,,10.77,16,Amex,Amex,10.77,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2021-07-13 18:36:44.345,IN_STORE,NA,36.57,7.5,29.07,6,MastercardDebit,MastercardDebit,29.07,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2024-05-31 21:23:53.465,IN_STORE,NA,0.95,,0.95,1,Amex,Amex,0.95,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2022-07-01 19:23:48.357,IN_STORE,NA,10.91,,10.91,6,MastercardDebit,MastercardDebit,10.91,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2024-07-13 19:44:03.981,IN_STORE,NA,2.3,,2.3,1,AMERICAN EXPRESS,AMERICAN EXPRESS,2.3,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2023-02-14 18:24:12.611,IN_STORE,NA,34.86,0.25,34.86,19,Amex,Amex,34.86,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2023-09-24 19:04:05.105,IN_STORE,NA,2.35,,2.35,2,Amex,Amex,2.35,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2021-07-28 10:57:35.320,IN_STORE,NA,4.25,1.25,3.0,3,MastercardDebit,MastercardDebit,3.0,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2024-11-01 13:07:45.773,IN_STORE,NA,7.2,2.8,7.2,6,AMERICAN EXPRESS,AMERICAN EXPRESS,7.2,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2022-06-28 16:56:36.412,IN_STORE,NA,10.5,1.0,10.5,2,MastercardDebit,MastercardDebit,10.5,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2022-04-06 10:58:58.884,IN_STORE,NA,0.69,,0.69,1,MastercardDebit,MastercardDebit,0.69,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2024-09-20 13:13:09.769,IN_STORE,NA,7.81,0.35,7.81,8,AMERICAN EXPRESS,AMERICAN EXPRESS,7.81,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2022-04-10 12:55:57.409,IN_STORE,NA,37.97,1.25,21.62,16,VisaCredit,VisaCredit,21.62,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2021-09-28 15:52:37.940,IN_STORE,NA,22.36,2.4,17.6,21,MastercardDebit,MastercardDebit,17.6,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
2021-07-28 14:26:28.403,IN_STORE,NA,6.7,1.7,5.0,3,MastercardDebit,MastercardDebit,5.0,trn:tesco:uid:uuid:d3145f0e-4538-4446-882a-faceb43ae79c,a4905a90-0ae0-4cf1-8920-e308845da937
